12.1151,0.0
12.1151,11.25
12.1151,22.5
12.1151,33.75
12.1151,45.0
12.1151,56.25
12.1151,67.5
12.1151,78.75
12.1151,90.0
12.1151,101.25
12.1151,112.5
12.1151,123.75
12.1151,135.0
12.1151,146.25
12.1151,157.5
12.1151,168.75
12.1151,180.0
12.1151,191.25
12.1151,202.5
12.1151,213.75
12.1151,225.0
12.1151,236.25
12.1151,247.5
12.1151,258.75
12.1151,270.0
12.1151,281.25
12.1151,292.5
12.1151,303.75
12.1151,315.0
12.1151,326.25
12.1151,337.5
12.1151,348.75
33.749,0.0
33.749,15.0
33.749,30.0
33.749,45.0
33.749,60.0
33.749,75.0
33.749,90.0
33.749,105.0
33.749,120.0
33.749,135.0
33.749,150.0
33.749,165.0
33.749,180.0
33.749,195.0
33.749,210.0
33.749,225.0
33.749,240.0
33.749,255.0
33.749,270.0
33.749,285.0
33.749,300.0
33.749,315.0
33.749,330.0
33.749,345.0
53.3665,0.0
53.3665,22.5
53.3665,45.0
53.3665,67.5
53.3665,90.0
53.3665,112.5
53.3665,135.0
53.3665,157.5
53.3665,180.0
53.3665,202.5
53.3665,225.0
53.3665,247.5
53.3665,270.0
53.3665,292.5
53.3665,315.0
53.3665,337.5
71.9187,0.0
71.9187,45.0
71.9187,90.0
71.9187,135.0
71.9187,180.0
71.9187,225.0
71.9187,270.0
71.9187,315.0
90.0,0.0
